AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,Age_of_building
4,1245,106,1.0,1.0,3,4,0,2,2,2,0,4.1,2.9,3.5,3.5,201653,113123,4918375,42
2,905,144,1.0,1.0,3,2,0,2,1,0,3,3.8,3.5,4.0,3.74,223393,77032,7703200,49
3,1496,135,2.0,1.0,4,2,0,1,2,0,3,3.2,3.8,2.8,3.22,265641,137105,8569080,27
6,1892,38,3.0,2.0,5,1,1,1,1,0,5,3.9,3.5,4.8,3.99,449425,133613,12146620,56
6,1517,40,2.0,1.0,4,2,0,0,1,2,1,4.0,4.6,2.9,3.94,408507,116716,11671620,26
0,1034,73,1.0,1.0,3,1,1,2,1,0,1,3.8,3.3,3.5,3.533333333333333,277702,46284,9256740,32
6,1755,142,2.0,1.0,4,2,1,0,2,0,2,4.6,4.0,3.9,4.12,581720,193907,14915900,51
1,1622,79,1.0,1.0,4,1,1,1,2,2,5,2.2,3.3,2.2,2.475,406434,243860,13547790,19
2,1092,89,1.0,1.0,3,3,0,2,0,1,3,2.4,2.4,2.0,2.28,246391,57491,8213040,16
2,821,34,1.0,1.0,3,1,0,1,2,2,3,3.4,4.6,2.9,3.73,182600,65736,7304000,19
3,1694,72,2.0,1.0,4,2,0,2,2,0,4,4.0,2.0,3.9,3.36,353291,114300,10390900,28
1,1809,177,2.0,1.0,5,2,0,0,0,1,4,3.0,3.5,2.0,2.725,518585,230482,19206870,41
4,1401,20,2.0,2.0,4,4,1,2,0,0,4,3.8,4.3,4.0,4.03,438477,229204,9965375,28
4,1470,99,2.0,2.0,4,0,0,2,2,1,3,3.1,3.0,3.1,3.07,302694,172968,7207000,39
2,798,166,1.0,1.0,2,4,0,0,2,2,3,2.3,2.6,3.6,2.81,253975,145129,9070550,49
2,764,137,1.0,1.0,2,4,0,1,1,1,3,3.3,3.2,2.1,2.9,158766,90723,5670200,25
2,1135,50,1.0,1.0,3,0,0,2,2,1,5,4.9,2.1,3.8,3.45,296102,148051,9253200,40
4,939,74,1.0,1.0,3,0,0,1,1,1,2,4.9,3.7,3.3,3.9,214700,38646,4294000,54
4,1586,59,2.0,2.0,4,3,1,0,2,0,5,3.9,3.0,4.5,3.87,586956,200424,14316000,44
5,1973,63,2.0,1.0,5,2,1,0,0,0,5,2.6,2.9,4.9,3.71,885666,116535,23307000,53
2,1023,44,1.0,1.0,3,4,1,1,0,2,5,3.0,2.8,3.6,3.1,282319,38941,9735150,35
2,884,75,1.0,1.0,3,3,0,0,2,1,5,2.3,3.8,2.4,2.93,283410,45346,11336400,19
1,1640,113,1.0,1.0,4,1,0,0,1,1,3,2.5,3.1,3.5,3.05,495645,194718,17701600,20
0,622,60,1.0,1.0,2,3,0,2,1,1,4,2.7,4.9,3.5,3.54,216906,72302,6572900,38
1,1880,90,2.0,1.0,5,4,1,1,2,1,5,3.2,4.2,4.0,3.77,483229,214768,13423020,32
3,2413,166,4.0,2.0,6,0,0,2,2,2,5,2.5,2.4,2.9,2.63,419905,170587,13122040,24
5,1649,169,1.0,1.0,4,1,0,0,0,0,3,2.1,2.0,4.6,3.2,681808,113635,18939100,41
6,1729,144,2.0,1.0,4,4,1,0,2,2,0,3.3,4.0,4.0,3.83,396911,128036,12803570,58
5,1942,10,2.0,1.0,5,2,0,1,2,0,3,4.6,3.1,2.9,3.533333333333333,320599,61654,12330740,48
2,711,116,1.0,1.0,2,1,1,2,2,1,4,2.6,3.2,2.8,2.9,249558,64402,8050270,23
2,885,122,1.0,1.0,3,2,0,1,1,1,5,4.6,2.7,2.1,3.09,237422,107919,7194600,44
3,1688,148,2.0,1.0,4,0,1,1,2,0,5,2.0,2.5,4.4,3.11,547810,285318,11412700,31
0,1236,108,2.0,2.0,4,2,0,0,1,0,0,3.7,3.5,4.4,4.01,481414,24071,12035355,55
4,926,98,1.0,1.0,3,2,0,1,1,0,4,4.3,4.8,2.9,3.89,288834,68770,6877000,34
3,1686,57,2.0,1.0,4,0,0,2,2,2,5,3.2,2.7,3.9,3.33,382817,196582,10346400,40
4,1344,129,2.0,2.0,4,1,0,0,2,0,3,4.6,4.2,3.3,3.96,453999,259428,10809500,66
3,1437,104,2.0,1.0,4,2,0,2,0,0,5,3.8,4.6,2.6,3.56,489629,102006,10200600,36
4,1430,17,2.0,2.0,4,0,1,2,2,1,0,4.3,3.2,3.8,3.766666666666667,238887,106172,6635750,26
0,1081,85,1.0,1.0,3,2,0,1,0,1,1,3.5,3.1,3.2,3.27,241416,6190,6190150,47
4,1352,1,2.0,2.0,4,3,1,1,1,0,0,3.0,2.0,3.5,2.9,240768,123638,6507250,42
3,1986,109,3.0,2.0,5,3,0,1,0,0,5,4.9,3.6,4.6,4.39,476717,227008,11350400,46
1,1758,164,1.0,1.0,4,4,1,0,0,1,4,3.5,2.9,4.0,3.55,713565,231426,19285540,59
4,607,121,1.0,1.0,2,3,0,2,2,0,4,4.2,4.9,2.2,3.61,175699,117133,5856625,61
3,2139,136,3.0,2.0,5,3,1,2,2,2,4,2.3,4.1,2.4,2.88,424048,249440,12472000,38
3,1488,97,2.0,1.0,4,4,0,2,0,2,3,2.3,5.0,4.1,3.83,405211,202606,8441900,42
6,1645,96,2.0,1.0,4,4,0,1,2,1,3,3.7,4.5,2.1,3.58,250118,75793,7579320,45
2,950,177,1.0,1.0,3,3,1,2,2,0,4,3.7,2.6,3.4,3.17,273252,146385,9759000,42
2,928,90,1.0,1.0,3,4,1,0,0,0,3,2.1,3.8,3.7,3.26,409985,62119,12423800,15
6,1693,145,2.0,1.0,4,3,1,0,2,2,5,4.1,2.7,4.1,3.47,604335,108470,15495760,70
6,1873,0,3.0,2.0,5,2,1,2,1,1,4,4.8,3.4,3.9,3.9,363735,198401,11022270,39
0,721,145,1.0,1.0,2,4,0,2,2,2,4,3.4,2.8,4.6,3.88,273800,60844,7605550,25
4,1190,37,1.0,1.0,3,2,1,1,2,0,3,4.3,4.1,3.8,4.04,342613,127484,7967750,43
3,1593,9,2.0,1.0,4,4,0,2,0,2,3,3.2,3.2,4.2,3.6,402606,223670,8946800,31
2,786,181,1.0,1.0,2,0,1,2,1,0,4,4.4,4.8,4.3,4.53,249610,83203,9244820,27
2,1195,93,1.0,1.0,3,1,0,2,2,2,4,3.0,4.7,3.2,3.74,265183,29465,9821600,33
6,1824,187,3.0,2.0,5,3,0,1,2,2,2,3.9,2.3,4.1,3.433333333333333,273570,76942,8549060,49
3,1906,81,3.0,2.0,5,0,1,0,2,2,3,3.7,4.7,3.0,3.72,792637,206086,15852740,24
0,656,20,1.0,1.0,2,0,0,0,0,2,2,4.5,2.3,2.3,2.96,280244,113849,8757635,24
2,727,84,1.0,1.0,2,0,0,2,1,0,5,3.1,4.3,2.5,3.4,218816,100992,8415990,34
0,931,37,1.0,1.0,3,2,1,2,1,2,5,2.0,3.6,4.0,3.32,367617,19871,9935595,48
6,1898,108,3.0,2.0,5,1,1,0,1,1,5,3.9,2.7,4.4,3.51,581625,332357,16617860,56
1,1698,15,1.0,1.0,4,2,0,1,2,0,5,5.0,4.9,3.1,4.215,359949,198593,12412050,58
5,1926,193,2.0,1.0,5,1,1,0,2,1,5,4.2,4.9,3.1,3.88,633655,203675,22630540,35
4,1481,144,2.0,2.0,4,4,1,0,0,2,0,3.7,4.9,2.3,3.5,485174,178227,9901500,53
1,1506,122,1.0,1.0,4,2,0,1,1,1,5,3.9,3.4,2.1,3.055,417996,177648,10449910,51
2,1020,95,1.0,1.0,3,2,0,1,2,1,5,4.2,2.4,4.1,3.45,206664,31794,7948600,35
2,889,196,1.0,1.0,3,0,0,2,1,0,5,5.0,2.4,2.0,3.06,300256,136480,9098680,38
2,1015,147,1.0,1.0,3,2,1,1,0,2,3,3.9,4.4,2.0,3.53,275314,66743,8342850,48
5,1682,78,1.0,1.0,4,0,0,0,0,0,3,3.7,3.0,3.5,3.435,690507,111974,18662350,49
2,869,39,1.0,1.0,3,2,0,2,2,1,5,4.3,4.8,3.3,4.2,220661,138935,8172630,30
4,1445,20,2.0,2.0,4,2,0,1,2,1,2,4.9,2.9,2.5,3.34,216691,87848,5856500,37
1,1919,178,2.0,1.0,5,4,1,1,2,0,5,2.4,5.0,3.3,3.41,544054,117633,14704160,24
0,1243,141,2.0,2.0,4,3,1,0,2,2,1,3.9,4.3,2.2,3.13,440895,26721,13360440,50
4,857,158,1.0,1.0,2,3,0,1,1,2,2,3.6,2.4,3.4,3.16,236556,59139,4928250,32
4,1055,174,1.0,1.0,3,1,1,2,2,0,2,3.7,2.3,4.8,3.72,226769,117042,7315125,63
3,1778,94,3.0,2.0,5,2,0,2,2,0,4,3.1,3.9,4.4,3.86,340948,153976,10998320,22
4,851,124,1.0,1.0,2,1,0,2,1,2,0,3.8,4.8,2.6,3.62,181073,39364,3936375,55
2,1021,82,1.0,1.0,3,4,1,2,2,1,4,2.0,2.5,4.6,2.98,276053,147228,9201770,21
3,2203,76,3.0,2.0,5,0,1,0,2,2,4,2.9,2.0,4.0,3.07,572520,339934,17891240,37
4,613,81,1.0,1.0,2,2,0,0,2,1,2,4.6,4.3,2.3,3.59,195491,66879,5144500,45
0,738,69,1.0,1.0,2,4,0,0,2,1,2,2.4,4.7,5.0,4.033333333333333,324194,8313,8312670,36
4,1489,177,2.0,2.0,4,1,0,1,1,0,3,4.4,3.2,4.0,3.88,384348,200181,8007250,43
4,795,73,1.0,1.0,2,0,1,1,2,0,5,3.4,2.6,4.9,3.76,254378,127189,8479250,25
6,1909,11,3.0,2.0,5,2,1,2,0,0,0,4.6,4.1,5.0,4.5,303875,212712,10129160,46
2,1252,190,2.0,1.0,4,2,0,1,0,1,5,3.6,4.9,4.6,4.42,265502,47411,9482200,26
4,1077,144,1.0,1.0,3,0,0,0,1,2,5,3.3,4.9,4.2,4.14,305249,246169,9846750,47
3,1524,73,2.0,1.0,4,3,0,2,2,2,3,3.6,2.7,2.8,3.01,303654,208220,8675820,44
2,1049,36,1.0,1.0,3,4,1,1,1,0,5,4.2,4.9,3.4,4.24,328398,133412,10262450,28
6,1780,194,2.0,1.0,4,0,0,2,0,0,1,4.7,2.0,2.9,2.95,329500,130066,8671050,72
2,946,14,1.0,1.0,3,1,0,0,1,1,4,3.8,3.1,4.5,3.73,368463,111656,11165550,34
2,906,116,1.0,1.0,3,4,1,1,2,0,5,3.2,4.6,3.2,3.76,302874,28394,9464800,49
3,2344,71,4.0,2.0,6,0,0,0,2,0,5,4.9,3.2,4.4,4.19,622046,471247,18849880,39
0,929,76,1.0,1.0,3,1,1,2,2,2,3,2.4,2.3,2.7,2.53,341295,75843,9480425,31
1,1843,158,2.0,1.0,5,1,0,1,1,1,4,3.9,3.4,3.3,3.535,318884,147177,12264750,31
1,1918,187,2.0,1.0,5,4,1,0,0,0,4,3.2,2.5,2.3,2.665,809377,218751,21875050,51
3,1507,54,2.0,1.0,4,3,1,0,0,2,3,3.2,4.8,3.0,3.6,636313,243694,13538580,36
3,1499,89,2.0,1.0,4,2,0,1,0,0,3,2.5,3.0,4.6,3.49,372805,186403,8876320,20
3,1526,64,2.0,1.0,4,3,1,0,0,2,3,4.1,3.8,4.5,4.17,518512,327481,13645040,35
1,1855,82,2.0,1.0,5,0,1,0,2,2,3,3.3,2.1,4.8,3.6,839848,188966,20996200,26
4,1627,39,2.0,2.0,4,3,1,2,1,2,3,4.1,4.6,2.5,3.61,308418,99782,9071125,44
6,1846,28,3.0,2.0,5,0,0,1,0,0,5,3.6,3.9,2.0,3.26,378554,129790,10815830,55
3,2019,65,3.0,2.0,5,0,1,2,2,2,5,3.8,3.1,3.2,3.35,601718,230445,12802500,31
4,1578,153,2.0,2.0,4,3,1,2,0,0,2,4.3,4.6,3.4,4.1,295508,238313,9532500,27
6,1780,115,2.0,1.0,4,2,1,0,2,1,1,2.8,4.6,2.5,3.52,453788,173507,13346700,42
4,662,148,1.0,1.0,2,4,0,0,2,1,1,4.7,3.3,2.5,3.4,143765,65348,4356500,52
2,1005,17,1.0,1.0,3,2,0,0,2,0,4,2.2,2.8,4.9,3.25,355456,183857,12257100,41
4,839,102,1.0,1.0,2,4,0,1,2,2,1,4.6,4.6,2.3,3.68,192724,49206,4100500,35
1,1698,76,1.0,1.0,4,4,0,1,0,1,5,4.7,4.4,4.3,4.465,403460,80692,11527430,51
0,878,16,1.0,1.0,3,4,1,1,2,2,0,5.0,3.3,5.0,4.66,225847,6453,6452785,36
2,835,77,1.0,1.0,3,4,1,1,1,2,5,3.8,4.5,3.0,3.84,227738,33739,8434750,54
2,911,84,1.0,1.0,3,4,1,2,1,1,3,3.8,3.8,2.0,3.26,245118,37139,7427820,47
6,1796,176,2.0,1.0,4,1,1,1,1,1,3,4.8,2.1,3.8,3.29,318687,118370,9105350,69
4,1004,182,1.0,1.0,3,1,0,2,1,1,1,4.9,3.3,3.1,3.7,193582,75544,4721500,44
1,1694,86,1.0,1.0,4,3,0,2,2,2,4,2.6,2.5,2.4,2.495,377250,213775,12575010,43
4,1244,50,1.0,1.0,3,0,1,2,0,0,2,2.5,2.1,2.6,2.42,246535,143150,7952750,45
4,588,163,1.0,1.0,2,4,0,2,0,2,4,4.9,4.2,3.5,4.13,228220,57055,5705500,39
3,2342,69,4.0,2.0,6,1,1,1,2,2,4,4.1,3.8,2.6,3.41,567545,180582,12898740,21
6,1835,88,3.0,2.0,5,3,0,2,0,2,4,4.7,2.6,2.1,2.98,418181,182284,10722580,47
1,1977,84,2.0,1.0,5,4,1,1,0,0,4,4.6,4.8,3.9,4.37,423089,211544,14102960,61
3,1961,104,3.0,2.0,5,0,1,0,2,0,5,2.0,2.6,3.2,2.66,792581,387484,17612900,29
6,1517,82,2.0,1.0,4,3,1,1,2,1,0,3.2,3.5,3.8,3.52,257288,85763,7146890,33
3,2409,103,4.0,2.0,6,4,1,2,2,0,4,4.3,4.0,2.0,3.29,606442,242577,13476480,41
6,1864,187,3.0,2.0,5,4,0,0,1,0,3,3.2,4.6,2.8,3.71,528520,181207,15100560,43
6,1643,52,2.0,1.0,4,2,1,0,0,2,5,4.8,3.6,2.4,3.54,577164,249584,15599020,48
0,1015,76,1.0,1.0,3,2,1,0,2,1,1,4.6,2.2,2.3,2.97,370412,112246,11224620,21
1,1700,135,1.0,1.0,4,3,1,2,2,1,3,4.3,2.7,2.4,3.14,424219,174679,12477040,48
4,624,34,1.0,1.0,2,2,0,0,1,1,1,4.4,3.4,3.0,3.54,202228,92321,4396250,46
2,980,84,1.0,1.0,3,3,0,0,2,2,4,3.0,3.8,4.6,3.8,380824,130908,11900750,34
4,1003,196,1.0,1.0,3,0,1,0,2,0,3,2.5,4.3,4.4,3.8,373330,161440,10090000,35
0,1072,66,1.0,1.0,3,2,1,1,2,1,0,2.3,2.3,2.3,2.3,264308,33038,6607690,22
4,808,119,1.0,1.0,2,1,0,1,2,0,1,3.1,2.4,3.0,2.85,161577,90293,4752250,50
2,1027,131,1.0,1.0,3,3,0,1,1,2,3,2.8,3.7,3.3,3.31,215799,44648,7441350,35
4,696,84,1.0,1.0,2,3,0,1,2,0,4,3.5,2.1,3.6,3.12,212561,77295,6441250,26
6,1716,86,2.0,1.0,4,2,1,1,1,2,4,2.1,3.3,2.2,2.67,414394,155398,10359860,23
6,1878,18,3.0,2.0,5,2,0,0,0,2,1,5.0,2.6,4.8,3.86,573149,257917,14328720,20
